School Code,School,Attendance Year,School Type,School Category,Remoteness Area,Region,Local Government Area,State Electorate,FTE Days Attended,Possible Attendance Days,Attendance Rate
186,Ashgrove State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Cooper,70215.5,73129,96.00%
186,Ashgrove State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Cooper,75048.5,78435,95.70%
186,Ashgrove State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Cooper,71910.5,75364,95.40%
1871,Ashmore State School,2015,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Southport,69954,75684,92.40%
1871,Ashmore State School,2016,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Southport,71908.5,77648,92.60%
1871,Ashmore State School,2017,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Southport,76037,81673,93.10%
1871,Ashmore State School,2018,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Southport,81976,87934,93.20%
1871,Ashmore State School,2019,State School,Primary,Major Cities of Australia,South East,Gold Coast (C),Southport,79594.5,84818,93.80%
512,Ashwell State School,2015,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,4450.5,4877,91.30%
512,Ashwell State School,2016,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,5020,5417,92.70%
512,Ashwell State School,2017,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,4439.5,4853,91.50%
512,Ashwell State School,2018,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,4964,5470,90.70%
512,Ashwell State School,2019,State School,Primary,Inner Regional Australia,Metropolitan,Ipswich (C),Ipswich West,4778.5,5359,89.20%
1004,Aspley East State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,72453,78240,92.60%
1004,Aspley East State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,69753,74693,93.40%
1004,Aspley East State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,73984.5,78928,93.70%
1004,Aspley East State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,81995.5,87387,93.80%
1004,Aspley East State School,2019,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,78866.5,84325,93.50%
3031,Aspley Special School,2015,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,9229,9730,94.90%
3031,Aspley Special School,2016,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,9392.5,10012,93.80%
3031,Aspley Special School,2017,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,8165,8979,90.90%
3031,Aspley Special School,2018,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,7925.5,8756,90.50%
3031,Aspley Special School,2019,Special School,Special,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,8311,9637,86.20%
2076,Aspley State High School,2015,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,62133.5,69342,89.60%
2076,Aspley State High School,2016,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,68732,76144,90.30%
2076,Aspley State High School,2017,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,70940.5,79699,89.00%
2076,Aspley State High School,2018,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,77761,87244,89.10%
2076,Aspley State High School,2019,State High School,Secondary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,82109.5,91832,89.40%
610,Aspley State School,2015,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,66341.5,69953,94.80%
610,Aspley State School,2016,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,65518,69072,94.90%
610,Aspley State School,2017,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,64844,68042,95.30%
610,Aspley State School,2018,State School,Primary,Major Cities of Australia,Metropolitan,Brisbane (C),Aspley,68150.5,71984.5,94.70%
