Dataset: SEIFA 2016 by Postal Area Code,,,,,,,,,,,
Index Type,,Index of Relative Socio-economic Advantage and Disadvantage,,,,,,,,,
Time,,2016,,,,,,,,,
Measure,,Score,RANK WITHIN AUSTRALIA,,,RANK WITHIN STATE AND TERRITORY,,,Minimum score for SA1s in area,Maximum score for SA1s in area,Usual resident population
,,,  Rank within Australia,  Rank within Australia - Decile,  Rank within Australia - Percentile,  Rank within State or Territory,  Rank within State or Territory - Decile,  Rank within State or Territory - Percentile,,,
Postal Area Code,,,,,,,,,,,
2474,,905,305,2,12,74,2,13,806,989,6332
2475,,848,81,1,4,15,1,3,778,948,383
2476,,905,302,2,12,72,2,12,878,947,778
2477,,989,1392,6,53,324,6,53,673,1094,12203
2478,,984,1317,6,51,314,6,52,709,1117,28310
2479,,1053,2124,9,81,455,8,74,992,1077,4730
2480,,945,758,3,29,194,4,32,738,1099,44599
2481,,1030,1908,8,73,413,7,68,942,1116,11769
2482,,966,1054,5,41,264,5,43,881,1041,6280
2483,,966,1071,5,41,266,5,44,892,1021,10609
2484,,941,707,3,27,184,3,30,723,1040,18872
2485,,916,412,2,16,103,2,17,747,1014,14373
2486,,951,845,4,33,216,4,36,789,1074,31594
2487,,1008,1676,7,64,378,7,62,791,1166,13436
2488,,968,1096,5,42,270,5,44,918,1009,3261
2489,,992,1443,6,55,331,6,54,909,1082,7353
2490,,994,1470,6,56,337,6,55,950,1016,666
2500,,1008,1681,7,64,379,7,62,820,1151,40510
2502,,853,92,1,4,17,1,3,601,1060,12438
2505,,897,254,1,10,60,1,10,509,1055,5014
2506,,881,159,1,7,32,1,6,764,1060,7605
2508,,1081,2320,9,89,496,9,81,943,1154,8975
2515,,1103,2437,10,93,523,9,86,1019,1162,11112
2516,,1064,2208,9,84,473,8,77,956,1127,6105
2517,,1021,1807,7,69,395,7,65,798,1142,13731
2518,,956,927,4,36,231,4,38,647,1098,19067
2519,,1005,1607,7,62,365,6,60,843,1135,16929
2522,,1049,2085,8,80,446,8,73,1049,1049,300
2525,,1040,2012,8,77,432,8,71,748,1189,11564
2526,,1005,1609,7,62,366,6,60,700,1141,15630
2527,,967,1074,5,41,267,5,44,798,1074,21383
2528,,889,200,1,8,45,1,8,709,1033,23774
2529,,1008,1671,7,64,376,7,62,824,1118,26025
2530,,963,1011,4,39,257,5,42,798,1090,32019
2533,,1053,2129,9,81,456,8,75,928,1117,15627
2534,,1063,2205,9,84,471,8,77,964,1107,5709
2535,,1022,1829,7,70,400,7,66,816,1128,7338
2536,,927,532,3,21,135,3,22,739,1059,17716
2537,,959,956,4,37,240,4,40,829,1048,11812
2538,,1005,1613,7,62,367,6,60,949,1056,2397
2539,,937,663,3,26,170,3,28,809,1056,17979
2540,,952,852,4,33,219,4,36,709,1104,45121
2541,,899,261,1,10,63,2,11,619,1104,25641
2545,,932,583,3,23,148,3,25,842,1004,1044
2546,,933,589,3,23,150,3,25,684,1014,9121
2548,,971,1129,5,43,274,5,45,855,1041,7734
2549,,968,1090,5,42,269,5,44,867,1048,3785
2550,,952,859,4,33,221,4,36,822,1045,15858
2551,,889,203,1,8,46,1,8,763,993,3501
2555,,938,670,3,26,172,3,28,922,1114,225
2556,,1001,1562,6,60,357,6,59,969,1073,2507
2557,,1062,2193,9,84,469,8,77,942,1124,8952
2558,,972,1148,5,44,278,5,46,886,1055,11114
2559,,671,3,1,1,1,1,1,588,973,3069
2560,,946,775,3,30,199,4,33,539,1126,76521
2563,,975,1188,5,46,287,5,47,967,998,307
2564,,888,190,1,8,40,1,7,596,1061,13924
2565,,993,1449,6,56,332,6,54,751,1146,19987
2566,,963,1006,4,39,255,5,42,744,1066,26327
2567,,1051,2114,9,81,454,8,74,873,1165,38500
2568,,1073,2274,9,87,484,8,79,1020,1125,1150
2569,,1055,2136,9,82,457,8,75,1020,1126,1362
2570,,1060,2175,9,83,463,8,76,811,1155,40104
2571,,1057,2150,9,82,459,8,75,943,1167,11850
2572,,1007,1660,7,64,375,7,61,957,1070,4477
2573,,947,804,4,31,204,4,34,859,1029,5067
2574,,994,1466,6,56,335,6,55,879,1060,5741
2575,,1001,1560,6,60,356,6,58,900,1142,15476
2576,,1065,2222,9,85,476,8,78,927,1148,13431
2577,,1007,1645,7,63,373,7,61,714,1128,15414
2578,,1018,1781,7,68,392,7,64,978,1116,2689
